,id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,geometry,latitude,longitude
0,nn00680114,0.7,"61km W of Beatty, Nevada",1552800021760,1552800173530,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nn00680114,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00680114.geojson,,,,,automatic,0,8,nn,00680114,",nn00680114,",",nn,",",geoserve,origin,phase-data,",19.0,0.11,0.35,173.57,ml,earthquake,"M 0.7 - 61km W of Beatty, Nevada",POINT Z (-117.4548 36.9045 5.1),36.9045,-117.4548
1,nn00680111,0.8,"54km ENE of Lone Pine, California",1552799190780,1552799312965,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nn00680111,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00680111.geojson,,,,,automatic,0,10,nn,00680111,",nn00680111,",",nn,",",geoserve,origin,phase-data,",15.0,0.179,0.57,210.18,ml,earthquake,"M 0.8 - 54km ENE of Lone Pine, California",POINT Z (-117.5137 36.8122 1.4),36.8122,-117.5137
2,nc73153176,1.95,"2km NNW of The Geysers, CA",1552799157340,1552800064710,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153176,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153176.geojson,,,,,automatic,0,58,nc,73153176,",nc73153176,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",20.0,0.01987,0.08,69.0,md,earthquake,"M 2.0 - 2km NNW of The Geysers, CA",POINT Z (-122.7624969 38.7936668 -0.06),38.7936668,-122.7624969
3,ci38272207,1.14,"5km WNW of Borrego Springs, CA",1552799154630,1552799370656,-480,https://earthquake.usgs.gov/earthquakes/eventpage/ci38272207,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci38272207.geojson,,,,,automatic,0,20,ci,38272207,",ci38272207,",",ci,",",geoserve,nearby-cities,origin,phase-data,",,,,,ml,earthquake,"M 1.1 - 5km WNW of Borrego Springs, CA",POINT Z (-116.426 33.2735 5.08),33.2735,-116.426
4,us1000jhax,3.0,"12km NW of Edmond, Oklahoma",1552798152510,1552800364001,-360,https://earthquake.usgs.gov/earthquakes/eventpage/us1000jhax,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us1000jhax.geojson,25.0,3.8,,,reviewed,0,148,us,1000jhax,",us1000jhax,",",us,",",dyfi,geoserve,origin,phase-data,",,0.106,0.36,23.0,mb_lg,earthquake,"M 3.0 - 12km NW of Edmond, Oklahoma",POINT Z (-97.5624 35.7366 5),35.7366,-97.5624
5,nn00680110,1.0,"58km SSW of Goldfield, Nevada",1552797645960,1552797752919,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nn00680110,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00680110.geojson,,,,,automatic,0,15,nn,00680110,",nn00680110,",",nn,",",geoserve,origin,phase-data,",17.0,0.12,0.13,142.0,ml,earthquake,"M 1.0 - 58km SSW of Goldfield, Nevada",POINT Z (-117.481 37.2207 6.3),37.2207,-117.481
6,pr2019076001,2.74,"3km ESE of Coqui, Puerto Rico",1552797586790,1552799610040,-240,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019076001,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr2019076001.geojson,,,,,reviewed,0,116,pr,2019076001,",pr2019076001,us1000jhay,",",pr,us,",",geoserve,origin,phase-data,",16.0,0.0597,0.21,210.0,md,earthquake,"M 2.7 - 3km ESE of Coqui, Puerto Rico",POINT Z (-66.1653 17.9535 16),17.9535,-66.1653
7,ak0193hrfg6f,1.8,"43km NE of Talkeetna, Alaska",1552797264136,1552798091809,-540,https://earthquake.usgs.gov/earthquakes/eventpage/ak0193hrfg6f,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0193hrfg6f.geojson,,,,,automatic,0,50,ak,0193hrfg6f,",ak0193hrfg6f,",",ak,",",geoserve,origin,",,,1.02,,ml,earthquake,"M 1.8 - 43km NE of Talkeetna, Alaska",POINT Z (-149.5199 62.609 62.3),62.609,-149.5199
8,nn00680109,0.4,"58km S of Goldfield, Nevada",1552797028270,1552797132612,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nn00680109,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00680109.geojson,,,,,automatic,0,2,nn,00680109,",nn00680109,",",nn,",",geoserve,origin,phase-data,",6.0,0.14,0.1,151.72,ml,earthquake,"M 0.4 - 58km S of Goldfield, Nevada",POINT Z (-117.3398 37.1892 24.4),37.1892,-117.3398
9,nc73153166,0.57,"8km WNW of The Geysers, CA",1552796051360,1552797302453,-480,https://earthquake.usgs.gov/earthquakes/eventpage/nc73153166,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc73153166.geojson,,,,,automatic,0,5,nc,73153166,",nc73153166,",",nc,",",geoserve,nearby-cities,origin,phase-data,scitech-link,",7.0,0.003975,0.04,234.0,md,earthquake,"M 0.6 - 8km WNW of The Geysers, CA",POINT Z (-122.8444977 38.8064995 6.21),38.8064995,-122.8444977
